reg,prov,coordenadas_prov
ANDALUCIA,CORDOBA,"(37.8845813, -4.7760138)"
ANDALUCIA,JAEN,"(37.9557275, -3.492055612037218)"
ANDALUCIA,MALAGA,"(36.7213028, -4.4216366)"
ANDALUCIA,SEVILLA,"(37.3886303, -5.9953403)"
ANDALUCIA,CADIZ,"(36.5297438, -6.2928976)"
ANDALUCIA,HUELVA,"(37.2575874, -6.9484945)"
ANDALUCIA,ALMERIA,"(36.8414197, -2.4628135)"
ANDALUCIA,GRANADA,"(37.1734995, -3.5995337)"
ARAGÓN,ZARAGOZA,"(41.6521342, -0.8809428)"
ARAGÓN,TERUEL,"(40.6005259, -0.9229281754890265)"
ARAGÓN,HUESCA,"(42.13606145, -0.029802662719165485)"
ASTURIAS,ASTURIAS,"(43.271087800000004, -5.854145744587305)"
BALEARES,BALEARES,"(39.613432, 2.880353635614984)"
CANARIAS,LAS PALMAS,"(28.1288694, -15.4349015)"
CANARIAS,SANTA CRUZ DE TENERIFE,"(28.469648, -16.2540884)"
CANTABRIA,CANTABRIA,"(43.1595664, -4.0878382)"
CASTILLA-LA MANCHA,CUENCA,"(40.0681156, -2.1348241)"
CASTILLA-LA MANCHA,ALBACETE,"(38.9950921, -1.8559154)"
CASTILLA-LA MANCHA,GUADALAJARA,"(20.6720375, -103.338396)"
CASTILLA-LA MANCHA,TOLEDO,"(39.8560679, -4.0239568)"
CASTILLA-LA MANCHA,CIUDAD REAL,"(38.959734749999996, -3.8828744402485436)"
CASTILLA-LEON,ZAMORA,"(41.6857693, -5.942315018340977)"
CASTILLA-LEON,PALENCIA,"(42.409632200000004, -4.616100410293067)"
CASTILLA-LEON,SEGOVIA,"(40.9502159, -4.1241494)"
CASTILLA-LEON,BURGOS,"(42.34484975, -3.681247658403683)"
CASTILLA-LEON,LEON,"(42.63414505, -5.971415104539984)"
CASTILLA-LEON,SALAMANCA,"(40.9651572, -5.6640182)"
CASTILLA-LEON,SORIA,"(41.60125045, -2.721938035449954)"
CASTILLA-LEON,AVILA,"(40.656478, -4.7002172)"
CASTILLA-LEON,VALLADOLID,"(41.6521328, -4.728562)"
CATALUNYA,LLEIDA,"(41.6147605, 0.6267842)"
CATALUNYA,GIRONA,"(41.9793006, 2.8199439)"
CATALUNYA,BARCELONA,"(41.3828939, 2.1774322)"
CATALUNYA,TARRAGONA,"(41.1172364, 1.2546057)"
COMUNIDAD VALENCIANA,CASTELLON,"(40.25185675, -0.061505110105748245)"
COMUNIDAD VALENCIANA,VALENCIA,"(39.4697065, -0.3763353)"
COMUNIDAD VALENCIANA,ALICANTE,"(38.3436365, -0.4881708)"
EXTREMADURA,BADAJOZ,"(38.8780585, -6.9702048)"
EXTREMADURA,CACERES,"(39.4745175, -6.3716761)"
GALICIA,PONTEVEDRA,"(42.6075172, -8.4714942)"
GALICIA,LUGO,"(43.0462247, -7.4739921)"
GALICIA,ORENSE,"(42.1968459, -7.6114105)"
GALICIA,A CORUÑA,"(43.3709703, -8.3959425)"
LA RIOJA,LA RIOJA,"(42.2814642, -2.482804975070473)"
MADRID,MADRID,"(40.4167047, -3.7035825)"
MURCIA,MURCIA,"(37.9923795, -1.1305431)"
NAVARRA,NAVARRA,"(42.61254875, -1.830787673361753)"
PAIS VASCO,ALAVA,"(42.844072249999996, -2.6820829322126283)"
PAIS VASCO,GUIPUZCOA,"(43.144527800000006, -2.2037955488327494)"
PAIS VASCO,VIZCAYA,"(43.238482000000005, -2.85163163999482)"
